vlastní účet,účet protistrany,pořadové číslo,částka,kód účtování,VS,KS,SS,název účtu prostistrany,kód měny,datum zaúčtování
123456-1234567890,654321-0987654321/0300,001,1500.50,2,1234567890,0308,9876543210,DODAVATEL MATERIÁLU S.R.O.,CZK,15.01.2025
123456-1234567890,111111-2222222222/5500,002,25000.00,2,2025010001,0308,1111111111,RAIFFEISEN DODAVATEL,CZK,15.01.2025
123456-1234567890,333333-4444444444/0100,003,7850.75,2,2025010002,0308,2222222222,KOMERČNÍ BANKA DODAVATEL,CZK,16.01.2025
123456-1234567890,777777-8888888888/2010,004,12500.00,2,2025010003,0308,3333333333,FIO BANKA DODAVATEL,CZK,16.01.2025
123456-1234567890,999999-0000000000/0800,005,3250.25,2,2025010004,0308,4444444444,ČESKÁ SPOŘITELNA DODAVATEL,CZK,17.01.2025
789012-3456789012,123123-4564564567/6000,006,5600.00,2,2025010005,0308,5555555555,MONETA MONEY BANK DODAVATEL,CZK,17.01.2025
789012-3456789012,456789-1234567890/3030,007,890.50,2,2025010006,0308,6666666666,AIRBANK DODAVATEL,CZK,18.01.2025
789012-3456789012,321321-9876543210/4000,008,15000.00,2,2025010007,0308,7777777777,EQUA BANK DODAVATEL,CZK,18.01.2025
789012-3456789012,654654-3213213210/2700,009,8750.75,2,2025010008,0308,8888888888,UNICREDIT BANK DODAVATEL,CZK,19.01.2025
123456-1234567890,987987-6546546540/0710,010,2200.00,2,2025010009,0308,9999999999,CNB DODAVATEL,CZK,19.01.2025
123456-1234567890,147147-2582582580/0600,011,950.25,2,2025010010,0308,1010101010,MBANK DODAVATEL,CZK,20.01.2025
789012-3456789012,258258-3693693690/2240,012,4500.00,2,2025010011,0308,1111111111,PPF BANKA DODAVATEL,CZK,20.01.2025
123456-1234567890,369369-4714714710/2060,013,18750.50,2,2025010012,0308,1212121212,CITFIN DODAVATEL,CZK,21.01.2025
789012-3456789012,741741-8528528520/2070,014,6300.00,2,2025010013,0308,1313131313,TRINITY BANK DODAVATEL,CZK,21.01.2025
123456-1234567890,852852-9639639630/8040,015,1750.75,2,2025010014,0308,1414141414,OBERBANK DODAVATEL,CZK,22.01.2025
789012-3456789012,963963-1471471470/7940,016,11200.00,2,2025010015,0308,1515151515,WALDVIERTLER SPARKASSE,CZK,22.01.2025
123456-1234567890,159159-3573573570/7960,017,890.25,2,2025010016,0308,1616161616,LBBW DODAVATEL,CZK,23.01.2025
789012-3456789012,357357-4684684680/8220,018,5450.00,2,2025010017,0308,1717171717,ARTESA DODAVATEL,CZK,23.01.2025
123456-1234567890,468468-5795795790/8230,019,2800.50,2,2025010018,0308,1818181818,ARCA CAPITAL DODAVATEL,CZK,24.01.2025
789012-3456789012,579579-6816816810/8250,020,7650.00,2,2025010019,0308,1919191919,BANKA CREDITAS DODAVATEL,CZK,24.01.2025
